isSoundTrack,rank,album,artist,year,url,comment
FALSE,N,Big Thinkin',Dallas Wayne,2000,,
FALSE,N,Dyslexicon,Dandelion,1995,,
FALSE,N,TTD's Vibrator,Terence Trent D'Arby,1995,,
FALSE,N,Erotica,The Darling Buds,1992,,
FALSE,N,Dewdrops in the Garden,Deee-Lite,1994,,
FALSE,N,Deep Forest,Deep Forest,1993,,
FALSE,N,Rolling Home,The Deighton Family,1991,,
FALSE,N,The Great Eastern,The Delgados,2000,,
FALSE,N,"Distinto, Diferente",Juan de Marcos Afro Cuban All Stars,2000,,
FALSE,N,Everything Sucks,The Descendents,1996,,
FALSE,N,I Ain't Movin',Des'ree,1994,,
FALSE,N,Malagasy Guitar,D'Gary,1993,,
FALSE,N,Jako Baye,Adama Diabate,1995,,
FALSE,N,FlamenKora,Djeli Moussa Diawara,1999,,
FALSE,N,A Man Amongst Men,Bo Diddley,1996,,
FALSE,N,Honky Tonk Attitude,Joe Diffie,1993,,
FALSE,N,Dim Stars,Dim Stars,1992,,
FALSE,N,Whatever's Cool With Me,Dinosaur Jr.,1991,,
FALSE,N,Twenty-Two: P.A. World Title,DJ DMD and the Inner Soul Clique,1999,,
FALSE,N,Safe and Sound,DJ Quik,1995,,
FALSE,N,Inna City Pressure,Dr. Israel,1998,,
FALSE,N,Duke Elegant,Dr. John,2000,,
FALSE,N,Dogg Food,The Dogg Pound,1995,,
FALSE,N,Domino,Domino,1993,,
FALSE,N,American Teenage Rock 'n' Roll Machine,The Donnas,1998,,
FALSE,N,Didadi,Nahawa Doumbia,1990,,
FALSE,N,Drugstore,Drugstore,1995,,
FALSE,N,Geek Drip,Dust Devils,1990,,
FALSE,N,Bright Side,John Easdale,1998,,
FALSE,N,U-Neek,Eek-A-Mouse,1991,,
FALSE,N,Studio City,Electric Company,1998,,
FALSE,N,Letter to Laredo,Joe Ely,1995,,
FALSE,N,Twistin' in the Wind,Joe Ely,1998,,
FALSE,N,Born to Sing,En Vogue,1990,,
FALSE,N,Masterpiece Theatre,En Vogue,2000,,
FALSE,N,Tongues,Esham,2001,,
FALSE,N,Space-Age Bachelor-Pad Music,Esquivel!,1994,,
FALSE,N,No More Mister Nice Girl,Maggie Estep,1994,,
FALSE,N,Mary Queen of Scots,Eugenius,1994,,
FALSE,N,World of Noise,Everclear,1994,,
FALSE,N,Forever Everlasting,Everlast,1990,,
FALSE,N,Walking Wounded,Everything but the Girl,1996,,
FALSE,N,Evil Stig,Evil Stig,1995,,
FALSE,N,Mar Azul,Cï¿½ï¿½saria ï¿,1999,,
FALSE,N,Miss Perfumado,Cï¿½ï¿½saria ï¿,1999,,
FALSE,N,The Explosion,The Explosion,2000,,
FALSE,N,I Like Your Face,Jad Fair and the Shapir O'Rama,1999,,
FALSE,N,A Secret Life,Marianne Faithfull,1995,,
FALSE,N,Middle Class Revolt,The Fall,1994,,
FALSE,N,Viva Mindelo,Fantcha,2001,,
FALSE,N,Spirit of Love,Majek Fashek and the Prisoners of Conscience,1991,,
FALSE,N,Zï¿½ï¿½,The Fastbacks,1993,,
FALSE,N,Get With It: Essential Recordings,Charlie Feathers,1998,,
FALSE,N,Phantom Center,Ferron,1990,,
FALSE,N,Taxi,Bryan Ferry,1993,,
FALSE,N,If U R Not Part of the Solution . . .,Five-O,1994,,
FALSE,N,Everything but the Girl Vs. Drum n' Bass,Five-O,1997,,
FALSE,N,The Dance,Fleetwood Mac,1997,,
FALSE,N,Once More With Feeling,Rosie Flores,1993,,
FALSE,N,Spit on the Dishes,Foamola,1993,,
FALSE,N,Blue Moon Swamp,John Fogerty,1997,,
FALSE,N,Big City Blues,Sue Foley,1995,,
FALSE,N,Walk in the Sun,Sue Foley,1996,,
FALSE,N,Pee-Wee Get My Gun,T-Model Ford,1997,,
FALSE,N,Sangonini,4 Etoiles,1993,,
FALSE,N,Moon Hut,Kim Fox,1997,,
FALSE,N,Getting Off Scott Free,Scott Free,1997,,
FALSE,N,Nice Ass,Free Kitten,1995,,
FALSE,N,Innercity Griots,Freestyle Fellowship,1993,,
FALSE,N,Dopamine,Mitchell Froom,1998,,
FALSE,N,Steady Diet of Nothing,Fugazi,1991,,
FALSE,N,Seize the Time,Fun-Da-Mental,1995,,
FALSE,N,Let's See What Carmen Can Do,Funki Porcini,1997,,
FALSE,N,The Iguanas,Fun Lovin' Criminals,1993,,
FALSE,N,Memories of Love,Future Bible Heroes,1997,,
FALSE,N,Lifeforms,The Future Sound of London,1994,,
FALSE,N,Plague Mass,Diamanda Galas,1991,,
FALSE,N,Tinker to Evers to Chance,Game Theory,1990,,
FALSE,N,Shrinkwrapped,Gang of Four,1995,,
FALSE,N,Hard to Earn,Gang Starr,1994,,
FALSE,N,Moment of Truth,Gang Starr,1998,,
FALSE,N,Alone,Greg Garing,1997,,
FALSE,N,Apricots from Eden,Djivan Gasparyan,1996,,
FALSE,N,Coumba Gawlo,Coumba Gawlo,1994,,
FALSE,N,At Worst . . . The Best of Boy George and Culture Club,Boy George and Culture Club,1993,,
FALSE,N,Butch,The Geraldine Fibbers,1997,,
FALSE,N,The Piano Rolls Vol. Two,George Gershwin,1995,,
FALSE,N,As Night Falls on the Silk Road,Ghazal,1998,,
FALSE,N,Hip-Hop Be-Bop,Ghetto Philharmonic,1995,,
FALSE,N,Swerve,Giant Sand,1990,,
FALSE,N,Johnny Gill,Johnny Gill,1990,,
FALSE,N,Dick,Greg Ginn,1994,,
FALSE,N,Freakonica,Girls Against Boys,1998,,
FALSE,N,The Glands,The Glands,2000,,
FALSE,N,Hymns,Corey Glover,1998,,
FALSE,N,Bellavista Terrace: Best of the Go-Betweens,The Go-Betweens,1999,,
FALSE,N,Possession,God,1992,,
FALSE,N,The Anatomy of Addiction,God,1994,,
FALSE,N,Pure,Godflesh,1992,,
FALSE,N,Down by the Old Mainstream,Golden Smog,1996,,
FALSE,N,Liquid Skin,Gomez,1999,,
FALSE,N,Hold Me Up,Goo Goo Dolls,1990,,
FALSE,N,Dizzy Up the Girl,Goo Goo Dolls,1998,,
FALSE,N,Kim Gordon/Ikue Mori/DJ Olive,Kim Gordon/Ikue Mori/DJ Olive,2000,,
FALSE,N,Dick's Picks Volume Three,Grateful Dead,1995,,
FALSE,N,Hundred Year Hall,Grateful Dead,1995,,
FALSE,N,The Arista Years,Grateful Dead,1996,,
FALSE,N,"The Pick, the Sickle and the Shovel",Gravediggaz,1997,,
FALSE,N,White Soul/Bittersweet,Green,1991,,
FALSE,N,Love Is Reality,Al Green,1992,,
FALSE,N,Special Kiss,Gumball,1991,,
FALSE,N,Damn Right I've Got the Blues,Buddy Guy,1991,,
FALSE,N,My Time After Awhile,Buddy Guy,1992,,
FALSE,N,Hot,Half Japanese,1995,,
FALSE,N,Home Grown,Tom T. Hall,1997,,
FALSE,N,In Control,Beres Hammond,1994,,
FALSE,N,Dis Is Da Drum,Herbie Hancock,1995,,
FALSE,N,School of Hard Knocks,Hard Knocks,1992,,
FALSE,N,The Will to Live,Ben Harper,1997,,
FALSE,N,Vï¿½ï¿½ Dï¿½,Corey Harris & Henry Butler,2000,,
FALSE,N,Debravation,Debbie Harry,1993,,
FALSE,N,Be Bop or Be Dead,Umar Bin Hassan,1993,,
FALSE,N,City: Works of Fiction,Jon Hassell,1990,,
FALSE,N,Fascinoma,Jon Hassell,1999,,
FALSE,N,Hey Babe,Juliana Hatfield,1992,,
FALSE,N,Branded,Isaac Hayes,1995,,
FALSE,N,First Blood,Mike Henderson & the Bluebloods,1996,,
FALSE,N,Trampoline,Joe Henry,1996,,
FALSE,N,Blow Your Headphones,The Herbaliser,1997,,
FALSE,N,Hips and Makers,Kristen Hersh,1994,,
FALSE,N,Welcome to My Mind,Hi-Fives,1995,,
FALSE,N,Hindu Love Gods,Hindu Love Gods,1990,,
FALSE,N,Home Is in Your Head,His Name Is Alive,1992,,
FALSE,N,Ft. Lake,His Name Is Alive,1998,,
FALSE,N,Letters from Frank,The Hissyfits,2001,,
FALSE,N,Beneath the Country Underdog,Kelly Hogan & the Pine Valley Cosmonauts,2000,,
FALSE,N,Greatest Hits,Honey Cone,1990,,
FALSE,N,Boom Boom,John Lee Hooker,1992,,
FALSE,N,Chill Out,John Lee Hooker,1995,,
FALSE,N,The White Man's Burden,Tom House,1998,,
FALSE,N,Tongue,Penelope Houston,1998,,
FALSE,N,I'm Your Baby Tonight,Whitney Houston,1990,,
FALSE,N,The Iguanas,The Iguanas,1993,,
FALSE,N,Ije Love/Journey of Love,Imo Brothers International,1996,,
FALSE,N,Programmed,Innerzone Orchestra,1999,,
FALSE,N,Dance Hall Don,Gregory Isaacs & Friends,1994,,
FALSE,N,Forever Blue,Chris Isaak,1995,,
FALSE,N,Tracks of Life,The Isley Brothers,1992,,
FALSE,N,We Are the Majority,J.,1992,,
FALSE,N,Time After Time,Etta James,1995,,
FALSE,N,"Life, Love and the Blues",Etta James,1998,,
